turn,card1,card2,chooser,metric,value1,value2,div1,div2,winner
1,13;goethe-gotz-von-berlichingen-with-the-iron-hand;79;5;0.09;0.87;2.49;46,29;schnitzler-la-ronde;11;5;0.22;0.15;2.81;3,1,size,79.0,11.0,41.78125,-26.21875,1
2,20;grabbe-napoleon-or-the-hundred-days;259;6;0.09;0.96;2.83;106,25;caragiale-a-lost-letter;17;3;0.73;0.91;1.28;15,1,size,259.0,17.0,221.78125,-20.21875,1
3,18;mitford-rienzi;34;2;0.31;0.87;1.69;33,4;aristophanes-the-frogs;16;3;0.29;0.82;1.78;14,1,maxDegree,33.0,14.0,7.46875,-11.53125,1
4,14;tieck-puss-in-boots;48;3;0.45;0.87;1.61;43,1;aeschylus-the-persians;6;2;0.53;0.76;1.47;5,1,maxDegree,43.0,5.0,17.46875,-20.53125,1
5,28;galdos-electra;15;3;0.53;0.85;1.48;13,17;pushkin-boris-godunov;79;6;0.11;0.92;3.03;29,1,averagePathLength,1.48,3.03,0.2687500000000007,-1.2812499999999991,1
6,9;racine-andromaque;8;3;0.43;0.64;1.79;5,2;sophocles-antigone;9;3;0.44;0.78;1.58;7,1,density,0.43,0.44,0.013749999999999929,0.023749999999999938,2
7,11;behn-the-rover-parts-one-and-two;43;3;0.38;0.84;1.62;41,21;gogol-the-government-inspector;30;3;0.5;0.88;1.52;26,2,maxDegree,41.0,26.0,15.46875,0.46875,1
8,19;hugo-hernani-or-castilian-honour;30;3;0.29;0.89;1.92;24,12;goldoni-the-servant-of-two-masters;13;3;0.59;0.87;1.42;11,1,averageClustering,0.89,0.87,0.05093750000000019,0.030937500000000173,1
9,10;moliere-the-miser;13;2;0.62;0.83;1.39;12,23;kivi-heath-cobblers;25;4;0.39;0.85;1.71;21,1,averagePathLength,1.39,1.71,0.3587500000000008,0.03875000000000073,1
10,7;jonson-volpone-or-the-fox;26;3;0.5;0.86;1.66;21,8;barca-life-is-a-dream;18;3;0.4;0.84;1.66;14,1,averagePathLength,1.66,1.66,0.08875000000000077,0.08875000000000077,0
11,16;goethe-faust-part-one;115;3;0.2;0.98;1.7;67,5;marlowe-doctor-faustus-quarto-of-1616;46;4;0.16;0.91;1.91;42,1,size,115.0,46.0,77.78125,8.78125,1
12,22;madach-the-tragedy-of-man;103;3;0.23;0.97;1.78;99,26;tolstoy-the-power-of-darkness;24;4;0.25;0.79;2.11;14,1,maxDegree,99.0,14.0,73.46875,-11.53125,1
13,15;inchbald-lovers-vows;15;3;0.54;0.85;1.53;12,24;ibsen-a-dolls-house;9;2;0.44;0.81;1.56;8,1,averagePathLength,1.53,1.56,0.21875000000000067,0.18875000000000064,1
14,3;euripides-electra;9;2;0.5;0.8;1.5;8,31;brecht-mother-courage-and-her-children;35;3;0.24;0.89;1.95;30,1,averagePathLength,1.5,1.95,0.2487500000000007,-0.20124999999999926,1
15,30;chekhov-the-cherry-orchard;14;2;0.73;0.86;1.28;12,27;strindberg-miss-julie;3;1;1;1;1;2,1,averagePathLength,1.28,1.0,0.46875000000000067,0.7487500000000007,2
16,13;goethe-gotz-von-berlichingen-with-the-iron-hand;79;5;0.09;0.87;2.49;46,9;racine-andromaque;8;3;0.43;0.64;1.79;5,2,density,0.09,0.43,-0.32625000000000004,0.013749999999999929,2
17,29;schnitzler-la-ronde;11;5;0.22;0.15;2.81;3,2;sophocles-antigone;9;3;0.44;0.78;1.58;7,2,averagePathLength,2.81,1.58,-1.0612499999999994,0.16875000000000062,2
18,20;grabbe-napoleon-or-the-hundred-days;259;6;0.09;0.96;2.83;106,30;chekhov-the-cherry-orchard;14;2;0.73;0.86;1.28;12,2,averagePathLength,2.83,1.28,-1.0812499999999994,0.46875000000000067,2
19,25;caragiale-a-lost-letter;17;3;0.73;0.91;1.28;15,27;strindberg-miss-julie;3;1;1;1;1;2,2,averagePathLength,1.28,1.0,0.46875000000000067,0.7487500000000007,2
20,18;mitford-rienzi;34;2;0.31;0.87;1.69;33,13;goethe-gotz-von-berlichingen-with-the-iron-hand;79;5;0.09;0.87;2.49;46,2,size,34.0,79.0,-3.21875,41.78125,2
21,4;aristophanes-the-frogs;16;3;0.29;0.82;1.78;14,9;racine-andromaque;8;3;0.43;0.64;1.79;5,2,density,0.29,0.43,-0.12625000000000008,0.013749999999999929,2
22,14;tieck-puss-in-boots;48;3;0.45;0.87;1.61;43,29;schnitzler-la-ronde;11;5;0.22;0.15;2.81;3,2,diameter,3.0,5.0,-0.125,1.875,2
23,1;aeschylus-the-persians;6;2;0.53;0.76;1.47;5,2;sophocles-antigone;9;3;0.44;0.78;1.58;7,2,averagePathLength,1.47,1.58,0.2787500000000007,0.16875000000000062,1
24,28;galdos-electra;15;3;0.53;0.85;1.48;13,20;grabbe-napoleon-or-the-hundred-days;259;6;0.09;0.96;2.83;106,1,averagePathLength,1.48,2.83,0.2687500000000007,-1.0812499999999994,1
25,17;pushkin-boris-godunov;79;6;0.11;0.92;3.03;29,30;chekhov-the-cherry-orchard;14;2;0.73;0.86;1.28;12,1,size,79.0,14.0,41.78125,-23.21875,1
26,11;behn-the-rover-parts-one-and-two;43;3;0.38;0.84;1.62;41,25;caragiale-a-lost-letter;17;3;0.73;0.91;1.28;15,1,maxDegree,41.0,15.0,15.46875,-10.53125,1
27,21;gogol-the-government-inspector;30;3;0.5;0.88;1.52;26,27;strindberg-miss-julie;3;1;1;1;1;2,1,maxDegree,26.0,2.0,0.46875,-23.53125,1
28,19;hugo-hernani-or-castilian-honour;30;3;0.29;0.89;1.92;24,18;mitford-rienzi;34;2;0.31;0.87;1.69;33,1,averageClustering,0.89,0.87,0.05093750000000019,0.030937500000000173,1
29,12;goldoni-the-servant-of-two-masters;13;3;0.59;0.87;1.42;11,13;goethe-gotz-von-berlichingen-with-the-iron-hand;79;5;0.09;0.87;2.49;46,1,averagePathLength,1.42,2.49,0.32875000000000076,-0.7412499999999995,1
30,10;moliere-the-miser;13;2;0.62;0.83;1.39;12,4;aristophanes-the-frogs;16;3;0.29;0.82;1.78;14,1,averagePathLength,1.39,1.78,0.3587500000000008,-0.031249999999999334,1
31,23;kivi-heath-cobblers;25;4;0.39;0.85;1.71;21,9;racine-andromaque;8;3;0.43;0.64;1.79;5,1,diameter,4.0,3.0,0.875,-0.125,1
32,7;jonson-volpone-or-the-fox;26;3;0.5;0.86;1.66;21,14;tieck-puss-in-boots;48;3;0.45;0.87;1.61;43,1,averagePathLength,1.66,1.61,0.08875000000000077,0.1387500000000006,2
33,8;barca-life-is-a-dream;18;3;0.4;0.84;1.66;14,29;schnitzler-la-ronde;11;5;0.22;0.15;2.81;3,2,diameter,3.0,5.0,-0.125,1.875,2
34,32;beckett-waiting-for-godot;5;2;0.8;0.87;1.2;4,7;jonson-volpone-or-the-fox;26;3;0.5;0.86;1.66;21,2,averagePathLength,1.2,1.66,0.5487500000000007,0.08875000000000077,1
