13;goethe-gotz-von-berlichingen-with-the-iron-hand;79;5;0.09;0.87;2.49;46
9;racine-andromaque;8;3;0.43;0.64;1.79;5
7;jonson-volpone-or-the-fox;26;3;0.5;0.86;1.66;21
26;tolstoy-the-power-of-darkness;24;4;0.25;0.79;2.11;14
22;madach-the-tragedy-of-man;103;3;0.23;0.97;1.78;99
20;grabbe-napoleon-or-the-hundred-days;259;6;0.09;0.96;2.83;106
21;gogol-the-government-inspector;30;3;0.5;0.88;1.52;26
12;goldoni-the-servant-of-two-masters;13;3;0.59;0.87;1.42;11
18;mitford-rienzi;34;2;0.31;0.87;1.69;33
16;goethe-faust-part-one;115;3;0.2;0.98;1.7;67
14;tieck-puss-in-boots;48;3;0.45;0.87;1.61;43
3;euripides-electra;9;2;0.5;0.8;1.5;8
29;schnitzler-la-ronde;11;5;0.22;0.15;2.81;3
1;aeschylus-the-persians;6;2;0.53;0.76;1.47;5
4;aristophanes-the-frogs;16;3;0.29;0.82;1.78;14
31;brecht-mother-courage-and-her-children;35;3;0.24;0.89;1.95;30
