turn,card1,card2,chooser,metric,value1,value2,div1,div2,winner
1,20;grabbe-napoleon-or-the-hundred-days;259;6;0.09;0.96;2.83;106,21;gogol-the-government-inspector;30;3;0.5;0.88;1.52;26,1,size,259.0,30.0,221.78125,-7.21875,1
2,10;moliere-the-miser;13;2;0.62;0.83;1.39;12,8;barca-life-is-a-dream;18;3;0.4;0.84;1.66;14,1,averagePathLength,1.39,1.66,0.3587500000000008,0.08875000000000077,1
3,28;galdos-electra;15;3;0.53;0.85;1.48;13,4;aristophanes-the-frogs;16;3;0.29;0.82;1.78;14,1,averagePathLength,1.48,1.78,0.2687500000000007,-0.031249999999999334,1
4,6;shakespeare-hamlet;34;3;0.34;0.86;1.7;30,13;goethe-gotz-von-berlichingen-with-the-iron-hand;79;5;0.09;0.87;2.49;46,1,maxDegree,30.0,46.0,4.46875,20.46875,2
5,26;tolstoy-the-power-of-darkness;24;4;0.25;0.79;2.11;14,17;pushkin-boris-godunov;79;6;0.11;0.92;3.03;29,2,size,24.0,79.0,-13.21875,41.78125,2
6,27;strindberg-miss-julie;3;1;1;1;1;2,29;schnitzler-la-ronde;11;5;0.22;0.15;2.81;3,2,diameter,1.0,5.0,-2.125,1.875,2
7,9;racine-andromaque;8;3;0.43;0.64;1.79;5,15;inchbald-lovers-vows;15;3;0.54;0.85;1.53;12,2,averagePathLength,1.79,1.53,-0.04124999999999934,0.21875000000000067,2
8,23;kivi-heath-cobblers;25;4;0.39;0.85;1.71;21,11;behn-the-rover-parts-one-and-two;43;3;0.38;0.84;1.62;41,2,maxDegree,21.0,41.0,-4.53125,15.46875,2
9,1;aeschylus-the-persians;6;2;0.53;0.76;1.47;5,12;goldoni-the-servant-of-two-masters;13;3;0.59;0.87;1.42;11,2,averagePathLength,1.47,1.42,0.2787500000000007,0.32875000000000076,2
10,18;mitford-rienzi;34;2;0.31;0.87;1.69;33,32;beckett-waiting-for-godot;5;2;0.8;0.87;1.2;4,2,averagePathLength,1.69,1.2,0.058750000000000746,0.5487500000000007,2
11,30;chekhov-the-cherry-orchard;14;2;0.73;0.86;1.28;12,2;sophocles-antigone;9;3;0.44;0.78;1.58;7,2,averagePathLength,1.28,1.58,0.46875000000000067,0.16875000000000062,1
12,3;euripides-electra;9;2;0.5;0.8;1.5;8,5;marlowe-doctor-faustus-quarto-of-1616;46;4;0.16;0.91;1.91;42,1,averagePathLength,1.5,1.91,0.2487500000000007,-0.16124999999999923,1
13,22;madach-the-tragedy-of-man;103;3;0.23;0.97;1.78;99,31;brecht-mother-courage-and-her-children;35;3;0.24;0.89;1.95;30,1,maxDegree,99.0,30.0,73.46875,4.46875,1
14,19;hugo-hernani-or-castilian-honour;30;3;0.29;0.89;1.92;24,25;caragiale-a-lost-letter;17;3;0.73;0.91;1.28;15,1,averageClustering,0.89,0.91,0.05093750000000019,0.07093750000000021,2
15,24;ibsen-a-dolls-house;9;2;0.44;0.81;1.56;8,14;tieck-puss-in-boots;48;3;0.45;0.87;1.61;43,2,maxDegree,8.0,43.0,-17.53125,17.46875,2
16,7;jonson-volpone-or-the-fox;26;3;0.5;0.86;1.66;21,16;goethe-faust-part-one;115;3;0.2;0.98;1.7;67,2,size,26.0,115.0,-11.21875,77.78125,2
17,20;grabbe-napoleon-or-the-hundred-days;259;6;0.09;0.96;2.83;106,6;shakespeare-hamlet;34;3;0.34;0.86;1.7;30,2,maxDegree,106.0,30.0,80.46875,4.46875,1
18,21;gogol-the-government-inspector;30;3;0.5;0.88;1.52;26,13;goethe-gotz-von-berlichingen-with-the-iron-hand;79;5;0.09;0.87;2.49;46,1,maxDegree,26.0,46.0,0.46875,20.46875,2
19,10;moliere-the-miser;13;2;0.62;0.83;1.39;12,26;tolstoy-the-power-of-darkness;24;4;0.25;0.79;2.11;14,2,diameter,2.0,4.0,-1.125,0.875,2
20,8;barca-life-is-a-dream;18;3;0.4;0.84;1.66;14,17;pushkin-boris-godunov;79;6;0.11;0.92;3.03;29,2,size,18.0,79.0,-19.21875,41.78125,2
21,28;galdos-electra;15;3;0.53;0.85;1.48;13,27;strindberg-miss-julie;3;1;1;1;1;2,2,averagePathLength,1.48,1.0,0.2687500000000007,0.7487500000000007,2
22,4;aristophanes-the-frogs;16;3;0.29;0.82;1.78;14,29;schnitzler-la-ronde;11;5;0.22;0.15;2.81;3,2,diameter,3.0,5.0,-0.125,1.875,2
23,30;chekhov-the-cherry-orchard;14;2;0.73;0.86;1.28;12,9;racine-andromaque;8;3;0.43;0.64;1.79;5,2,density,0.73,0.43,0.3137499999999999,0.013749999999999929,1
24,2;sophocles-antigone;9;3;0.44;0.78;1.58;7,15;inchbald-lovers-vows;15;3;0.54;0.85;1.53;12,1,averagePathLength,1.58,1.53,0.16875000000000062,0.21875000000000067,2
25,3;euripides-electra;9;2;0.5;0.8;1.5;8,23;kivi-heath-cobblers;25;4;0.39;0.85;1.71;21,2,diameter,2.0,4.0,-1.125,0.875,2
26,5;marlowe-doctor-faustus-quarto-of-1616;46;4;0.16;0.91;1.91;42,11;behn-the-rover-parts-one-and-two;43;3;0.38;0.84;1.62;41,2,maxDegree,42.0,41.0,16.46875,15.46875,1
