turn,card1,card2,chooser,metric,value1,value2,div1,div2,winner
1,12;goldoni-the-servant-of-two-masters;13;3;0.59;0.87;1.42;11,15;inchbald-lovers-vows;15;3;0.54;0.85;1.53;12,1,averagePathLength,1.42,1.53,0.32875000000000076,0.21875000000000067,1
2,16;goethe-faust-part-one;115;3;0.2;0.98;1.7;67,21;gogol-the-government-inspector;30;3;0.5;0.88;1.52;26,1,size,115.0,30.0,77.78125,-7.21875,1
3,5;marlowe-doctor-faustus-quarto-of-1616;46;4;0.16;0.91;1.91;42,14;tieck-puss-in-boots;48;3;0.45;0.87;1.61;43,1,maxDegree,42.0,43.0,16.46875,17.46875,2
4,1;aeschylus-the-persians;6;2;0.53;0.76;1.47;5,18;mitford-rienzi;34;2;0.31;0.87;1.69;33,2,maxDegree,5.0,33.0,-20.53125,7.46875,2
5,27;strindberg-miss-julie;3;1;1;1;1;2,29;schnitzler-la-ronde;11;5;0.22;0.15;2.81;3,2,diameter,1.0,5.0,-2.125,1.875,2
6,7;jonson-volpone-or-the-fox;26;3;0.5;0.86;1.66;21,10;moliere-the-miser;13;2;0.62;0.83;1.39;12,2,averagePathLength,1.66,1.39,0.08875000000000077,0.3587500000000008,2
7,17;pushkin-boris-godunov;79;6;0.11;0.92;3.03;29,24;ibsen-a-dolls-house;9;2;0.44;0.81;1.56;8,2,averagePathLength,3.03,1.56,-1.2812499999999991,0.18875000000000064,2
8,31;brecht-mother-courage-and-her-children;35;3;0.24;0.89;1.95;30,23;kivi-heath-cobblers;25;4;0.39;0.85;1.71;21,2,diameter,3.0,4.0,-0.125,0.875,2
9,19;hugo-hernani-or-castilian-honour;30;3;0.29;0.89;1.92;24,11;behn-the-rover-parts-one-and-two;43;3;0.38;0.84;1.62;41,2,maxDegree,24.0,41.0,-1.53125,15.46875,2
10,8;barca-life-is-a-dream;18;3;0.4;0.84;1.66;14,6;shakespeare-hamlet;34;3;0.34;0.86;1.7;30,2,maxDegree,14.0,30.0,-11.53125,4.46875,2
11,28;galdos-electra;15;3;0.53;0.85;1.48;13,3;euripides-electra;9;2;0.5;0.8;1.5;8,2,averagePathLength,1.48,1.5,0.2687500000000007,0.2487500000000007,1
12,13;goethe-gotz-von-berlichingen-with-the-iron-hand;79;5;0.09;0.87;2.49;46,20;grabbe-napoleon-or-the-hundred-days;259;6;0.09;0.96;2.83;106,1,size,79.0,259.0,41.78125,221.78125,2
13,30;chekhov-the-cherry-orchard;14;2;0.73;0.86;1.28;12,26;tolstoy-the-power-of-darkness;24;4;0.25;0.79;2.11;14,2,diameter,2.0,4.0,-1.125,0.875,2
14,25;caragiale-a-lost-letter;17;3;0.73;0.91;1.28;15,32;beckett-waiting-for-godot;5;2;0.8;0.87;1.2;4,2,averagePathLength,1.28,1.2,0.46875000000000067,0.5487500000000007,2
15,9;racine-andromaque;8;3;0.43;0.64;1.79;5,22;madach-the-tragedy-of-man;103;3;0.23;0.97;1.78;99,2,maxDegree,5.0,99.0,-20.53125,73.46875,2
16,4;aristophanes-the-frogs;16;3;0.29;0.82;1.78;14,2;sophocles-antigone;9;3;0.44;0.78;1.58;7,2,averagePathLength,1.78,1.58,-0.031249999999999334,0.16875000000000062,2
17,12;goldoni-the-servant-of-two-masters;13;3;0.59;0.87;1.42;11,5;marlowe-doctor-faustus-quarto-of-1616;46;4;0.16;0.91;1.91;42,2,maxDegree,11.0,42.0,-14.53125,16.46875,2
18,15;inchbald-lovers-vows;15;3;0.54;0.85;1.53;12,14;tieck-puss-in-boots;48;3;0.45;0.87;1.61;43,2,maxDegree,12.0,43.0,-13.53125,17.46875,2
19,16;goethe-faust-part-one;115;3;0.2;0.98;1.7;67,1;aeschylus-the-persians;6;2;0.53;0.76;1.47;5,2,averagePathLength,1.7,1.47,0.04875000000000074,0.2787500000000007,2
20,21;gogol-the-government-inspector;30;3;0.5;0.88;1.52;26,18;mitford-rienzi;34;2;0.31;0.87;1.69;33,2,maxDegree,26.0,33.0,0.46875,7.46875,2
21,28;galdos-electra;15;3;0.53;0.85;1.48;13,27;strindberg-miss-julie;3;1;1;1;1;2,2,averagePathLength,1.48,1.0,0.2687500000000007,0.7487500000000007,2
22,3;euripides-electra;9;2;0.5;0.8;1.5;8,29;schnitzler-la-ronde;11;5;0.22;0.15;2.81;3,2,diameter,2.0,5.0,-1.125,1.875,2
