turn,card1,card2,chooser,metric,value1,value2,div1,div2,winner
1,24;ibsen-a-dolls-house;9;2;0.44;0.81;1.56;8,27;strindberg-miss-julie;3;1;1;1;1;2,1,averagePathLength,1.56,1.0,0.18875000000000064,0.7487500000000007,2
2,18;mitford-rienzi;34;2;0.31;0.87;1.69;33,32;beckett-waiting-for-godot;5;2;0.8;0.87;1.2;4,2,averagePathLength,1.69,1.2,0.058750000000000746,0.5487500000000007,2
3,20;grabbe-napoleon-or-the-hundred-days;259;6;0.09;0.96;2.83;106,31;brecht-mother-courage-and-her-children;35;3;0.24;0.89;1.95;30,2,maxDegree,106.0,30.0,80.46875,4.46875,1
4,5;marlowe-doctor-faustus-quarto-of-1616;46;4;0.16;0.91;1.91;42,30;chekhov-the-cherry-orchard;14;2;0.73;0.86;1.28;12,1,maxDegree,42.0,12.0,16.46875,-13.53125,1
5,22;madach-the-tragedy-of-man;103;3;0.23;0.97;1.78;99,16;goethe-faust-part-one;115;3;0.2;0.98;1.7;67,1,maxDegree,99.0,67.0,73.46875,41.46875,1
6,9;racine-andromaque;8;3;0.43;0.64;1.79;5,10;moliere-the-miser;13;2;0.62;0.83;1.39;12,1,density,0.43,0.62,0.013749999999999929,0.20374999999999993,2
7,2;sophocles-antigone;9;3;0.44;0.78;1.58;7,12;goldoni-the-servant-of-two-masters;13;3;0.59;0.87;1.42;11,2,averagePathLength,1.58,1.42,0.16875000000000062,0.32875000000000076,2
8,19;hugo-hernani-or-castilian-honour;30;3;0.29;0.89;1.92;24,13;goethe-gotz-von-berlichingen-with-the-iron-hand;79;5;0.09;0.87;2.49;46,2,size,30.0,79.0,-7.21875,41.78125,2
9,28;galdos-electra;15;3;0.53;0.85;1.48;13,15;inchbald-lovers-vows;15;3;0.54;0.85;1.53;12,2,averagePathLength,1.48,1.53,0.2687500000000007,0.21875000000000067,1
10,25;caragiale-a-lost-letter;17;3;0.73;0.91;1.28;15,8;barca-life-is-a-dream;18;3;0.4;0.84;1.66;14,1,averagePathLength,1.28,1.66,0.46875000000000067,0.08875000000000077,1
11,6;shakespeare-hamlet;34;3;0.34;0.86;1.7;30,23;kivi-heath-cobblers;25;4;0.39;0.85;1.71;21,1,maxDegree,30.0,21.0,4.46875,-4.53125,1
12,29;schnitzler-la-ronde;11;5;0.22;0.15;2.81;3,11;behn-the-rover-parts-one-and-two;43;3;0.38;0.84;1.62;41,1,diameter,5.0,3.0,1.875,-0.125,1
13,4;aristophanes-the-frogs;16;3;0.29;0.82;1.78;14,17;pushkin-boris-godunov;79;6;0.11;0.92;3.03;29,1,averageClustering,0.82,0.92,-0.01906249999999987,0.08093750000000022,2
14,1;aeschylus-the-persians;6;2;0.53;0.76;1.47;5,14;tieck-puss-in-boots;48;3;0.45;0.87;1.61;43,2,maxDegree,5.0,43.0,-20.53125,17.46875,2
15,21;gogol-the-government-inspector;30;3;0.5;0.88;1.52;26,26;tolstoy-the-power-of-darkness;24;4;0.25;0.79;2.11;14,2,diameter,3.0,4.0,-0.125,0.875,2
16,7;jonson-volpone-or-the-fox;26;3;0.5;0.86;1.66;21,3;euripides-electra;9;2;0.5;0.8;1.5;8,2,averagePathLength,1.66,1.5,0.08875000000000077,0.2487500000000007,2
17,20;grabbe-napoleon-or-the-hundred-days;259;6;0.09;0.96;2.83;106,24;ibsen-a-dolls-house;9;2;0.44;0.81;1.56;8,2,averagePathLength,2.83,1.56,-1.0812499999999994,0.18875000000000064,2
18,31;brecht-mother-courage-and-her-children;35;3;0.24;0.89;1.95;30,27;strindberg-miss-julie;3;1;1;1;1;2,2,averagePathLength,1.95,1.0,-0.20124999999999926,0.7487500000000007,2
19,5;marlowe-doctor-faustus-quarto-of-1616;46;4;0.16;0.91;1.91;42,18;mitford-rienzi;34;2;0.31;0.87;1.69;33,2,maxDegree,42.0,33.0,16.46875,7.46875,1
20,30;chekhov-the-cherry-orchard;14;2;0.73;0.86;1.28;12,32;beckett-waiting-for-godot;5;2;0.8;0.87;1.2;4,1,averagePathLength,1.28,1.2,0.46875000000000067,0.5487500000000007,2
21,22;madach-the-tragedy-of-man;103;3;0.23;0.97;1.78;99,9;racine-andromaque;8;3;0.43;0.64;1.79;5,2,density,0.23,0.43,-0.18625000000000005,0.013749999999999929,2
22,16;goethe-faust-part-one;115;3;0.2;0.98;1.7;67,10;moliere-the-miser;13;2;0.62;0.83;1.39;12,2,averagePathLength,1.7,1.39,0.04875000000000074,0.3587500000000008,2
23,28;galdos-electra;15;3;0.53;0.85;1.48;13,2;sophocles-antigone;9;3;0.44;0.78;1.58;7,2,averagePathLength,1.48,1.58,0.2687500000000007,0.16875000000000062,1
24,15;inchbald-lovers-vows;15;3;0.54;0.85;1.53;12,12;goldoni-the-servant-of-two-masters;13;3;0.59;0.87;1.42;11,1,averagePathLength,1.53,1.42,0.21875000000000067,0.32875000000000076,2
25,25;caragiale-a-lost-letter;17;3;0.73;0.91;1.28;15,19;hugo-hernani-or-castilian-honour;30;3;0.29;0.89;1.92;24,2,averageClustering,0.91,0.89,0.07093750000000021,0.05093750000000019,1
26,8;barca-life-is-a-dream;18;3;0.4;0.84;1.66;14,13;goethe-gotz-von-berlichingen-with-the-iron-hand;79;5;0.09;0.87;2.49;46,1,averagePathLength,1.66,2.49,0.08875000000000077,-0.7412499999999995,1
27,6;shakespeare-hamlet;34;3;0.34;0.86;1.7;30,4;aristophanes-the-frogs;16;3;0.29;0.82;1.78;14,1,maxDegree,30.0,14.0,4.46875,-11.53125,1
28,23;kivi-heath-cobblers;25;4;0.39;0.85;1.71;21,17;pushkin-boris-godunov;79;6;0.11;0.92;3.03;29,1,diameter,4.0,6.0,0.875,2.875,2
29,29;schnitzler-la-ronde;11;5;0.22;0.15;2.81;3,1;aeschylus-the-persians;6;2;0.53;0.76;1.47;5,2,averagePathLength,2.81,1.47,-1.0612499999999994,0.2787500000000007,2
30,11;behn-the-rover-parts-one-and-two;43;3;0.38;0.84;1.62;41,14;tieck-puss-in-boots;48;3;0.45;0.87;1.61;43,2,maxDegree,41.0,43.0,15.46875,17.46875,2
31,5;marlowe-doctor-faustus-quarto-of-1616;46;4;0.16;0.91;1.91;42,21;gogol-the-government-inspector;30;3;0.5;0.88;1.52;26,2,maxDegree,42.0,26.0,16.46875,0.46875,1
