turn,card1,card2,chooser,metric,value1,value2,div1,div2,winner
1,6;shakespeare-hamlet;34;3;0.34;0.86;1.7;30,12;goldoni-the-servant-of-two-masters;13;3;0.59;0.87;1.42;11,1,maxDegree,30.0,11.0,4.46875,-14.53125,1
2,16;goethe-faust-part-one;115;3;0.2;0.98;1.7;67,14;tieck-puss-in-boots;48;3;0.45;0.87;1.61;43,1,size,115.0,48.0,77.78125,10.78125,1
3,28;galdos-electra;15;3;0.53;0.85;1.48;13,27;strindberg-miss-julie;3;1;1;1;1;2,1,averagePathLength,1.48,1.0,0.2687500000000007,0.7487500000000007,2
4,15;inchbald-lovers-vows;15;3;0.54;0.85;1.53;12,24;ibsen-a-dolls-house;9;2;0.44;0.81;1.56;8,2,averagePathLength,1.53,1.56,0.21875000000000067,0.18875000000000064,1
5,31;brecht-mother-courage-and-her-children;35;3;0.24;0.89;1.95;30,7;jonson-volpone-or-the-fox;26;3;0.5;0.86;1.66;21,1,maxDegree,30.0,21.0,4.46875,-4.53125,1
6,10;moliere-the-miser;13;2;0.62;0.83;1.39;12,29;schnitzler-la-ronde;11;5;0.22;0.15;2.81;3,1,averagePathLength,1.39,2.81,0.3587500000000008,-1.0612499999999994,1
7,18;mitford-rienzi;34;2;0.31;0.87;1.69;33,21;gogol-the-government-inspector;30;3;0.5;0.88;1.52;26,1,maxDegree,33.0,26.0,7.46875,0.46875,1
8,8;barca-life-is-a-dream;18;3;0.4;0.84;1.66;14,3;euripides-electra;9;2;0.5;0.8;1.5;8,1,averagePathLength,1.66,1.5,0.08875000000000077,0.2487500000000007,2
9,32;beckett-waiting-for-godot;5;2;0.8;0.87;1.2;4,2;sophocles-antigone;9;3;0.44;0.78;1.58;7,2,averagePathLength,1.2,1.58,0.5487500000000007,0.16875000000000062,1
10,19;hugo-hernani-or-castilian-honour;30;3;0.29;0.89;1.92;24,26;tolstoy-the-power-of-darkness;24;4;0.25;0.79;2.11;14,1,averageClustering,0.89,0.79,0.05093750000000019,-0.04906249999999979,1
11,11;behn-the-rover-parts-one-and-two;43;3;0.38;0.84;1.62;41,5;marlowe-doctor-faustus-quarto-of-1616;46;4;0.16;0.91;1.91;42,1,maxDegree,41.0,42.0,15.46875,16.46875,2
12,17;pushkin-boris-godunov;79;6;0.11;0.92;3.03;29,25;caragiale-a-lost-letter;17;3;0.73;0.91;1.28;15,2,averagePathLength,3.03,1.28,-1.2812499999999991,0.46875000000000067,2
13,30;chekhov-the-cherry-orchard;14;2;0.73;0.86;1.28;12,4;aristophanes-the-frogs;16;3;0.29;0.82;1.78;14,2,averageClustering,0.86,0.82,0.020937500000000164,-0.01906249999999987,1
14,13;goethe-gotz-von-berlichingen-with-the-iron-hand;79;5;0.09;0.87;2.49;46,9;racine-andromaque;8;3;0.43;0.64;1.79;5,1,size,79.0,8.0,41.78125,-29.21875,1
15,20;grabbe-napoleon-or-the-hundred-days;259;6;0.09;0.96;2.83;106,23;kivi-heath-cobblers;25;4;0.39;0.85;1.71;21,1,size,259.0,25.0,221.78125,-12.21875,1
16,1;aeschylus-the-persians;6;2;0.53;0.76;1.47;5,22;madach-the-tragedy-of-man;103;3;0.23;0.97;1.78;99,1,averagePathLength,1.47,1.78,0.2787500000000007,-0.031249999999999334,1
17,6;shakespeare-hamlet;34;3;0.34;0.86;1.7;30,28;galdos-electra;15;3;0.53;0.85;1.48;13,1,maxDegree,30.0,13.0,4.46875,-12.53125,1
18,12;goldoni-the-servant-of-two-masters;13;3;0.59;0.87;1.42;11,27;strindberg-miss-julie;3;1;1;1;1;2,1,averagePathLength,1.42,1.0,0.32875000000000076,0.7487500000000007,2
19,16;goethe-faust-part-one;115;3;0.2;0.98;1.7;67,8;barca-life-is-a-dream;18;3;0.4;0.84;1.66;14,2,averagePathLength,1.7,1.66,0.04875000000000074,0.08875000000000077,2
20,14;tieck-puss-in-boots;48;3;0.45;0.87;1.61;43,3;euripides-electra;9;2;0.5;0.8;1.5;8,2,averagePathLength,1.61,1.5,0.1387500000000006,0.2487500000000007,2
21,15;inchbald-lovers-vows;15;3;0.54;0.85;1.53;12,11;behn-the-rover-parts-one-and-two;43;3;0.38;0.84;1.62;41,2,maxDegree,12.0,41.0,-13.53125,15.46875,2
