turn,card1,card2,chooser,metric,value1,value2,div1,div2,winner
1,25;caragiale-a-lost-letter;17;3;0.73;0.91;1.28;15,5;marlowe-doctor-faustus-quarto-of-1616;46;4;0.16;0.91;1.91;42,1,averagePathLength,1.28,1.91,0.46875000000000067,-0.16124999999999923,1
2,12;goldoni-the-servant-of-two-masters;13;3;0.59;0.87;1.42;11,19;hugo-hernani-or-castilian-honour;30;3;0.29;0.89;1.92;24,1,averagePathLength,1.42,1.92,0.32875000000000076,-0.17124999999999924,1
3,9;racine-andromaque;8;3;0.43;0.64;1.79;5,18;mitford-rienzi;34;2;0.31;0.87;1.69;33,1,density,0.43,0.31,0.013749999999999929,-0.10625000000000007,1
4,28;galdos-electra;15;3;0.53;0.85;1.48;13,2;sophocles-antigone;9;3;0.44;0.78;1.58;7,1,averagePathLength,1.48,1.58,0.2687500000000007,0.16875000000000062,1
5,16;goethe-faust-part-one;115;3;0.2;0.98;1.7;67,29;schnitzler-la-ronde;11;5;0.22;0.15;2.81;3,1,size,115.0,11.0,77.78125,-26.21875,1
6,4;aristophanes-the-frogs;16;3;0.29;0.82;1.78;14,31;brecht-mother-courage-and-her-children;35;3;0.24;0.89;1.95;30,1,averageClustering,0.82,0.89,-0.01906249999999987,0.05093750000000019,2
7,32;beckett-waiting-for-godot;5;2;0.8;0.87;1.2;4,10;moliere-the-miser;13;2;0.62;0.83;1.39;12,2,averagePathLength,1.2,1.39,0.5487500000000007,0.3587500000000008,1
8,7;jonson-volpone-or-the-fox;26;3;0.5;0.86;1.66;21,23;kivi-heath-cobblers;25;4;0.39;0.85;1.71;21,1,averagePathLength,1.66,1.71,0.08875000000000077,0.03875000000000073,1
9,17;pushkin-boris-godunov;79;6;0.11;0.92;3.03;29,3;euripides-electra;9;2;0.5;0.8;1.5;8,1,size,79.0,9.0,41.78125,-28.21875,1
10,30;chekhov-the-cherry-orchard;14;2;0.73;0.86;1.28;12,22;madach-the-tragedy-of-man;103;3;0.23;0.97;1.78;99,1,averagePathLength,1.28,1.78,0.46875000000000067,-0.031249999999999334,1
11,11;behn-the-rover-parts-one-and-two;43;3;0.38;0.84;1.62;41,24;ibsen-a-dolls-house;9;2;0.44;0.81;1.56;8,1,maxDegree,41.0,8.0,15.46875,-17.53125,1
12,8;barca-life-is-a-dream;18;3;0.4;0.84;1.66;14,26;tolstoy-the-power-of-darkness;24;4;0.25;0.79;2.11;14,1,averagePathLength,1.66,2.11,0.08875000000000077,-0.3612499999999992,1
