turn,card1,card2,chooser,metric,value1,value2,div1,div2,winner
1,15;inchbald-lovers-vows;15;3;0.54;0.85;1.53;12,23;kivi-heath-cobblers;25;4;0.39;0.85;1.71;21,1,averagePathLength,1.53,1.71,0.21875000000000067,0.03875000000000073,1
2,19;hugo-hernani-or-castilian-honour;30;3;0.29;0.89;1.92;24,22;madach-the-tragedy-of-man;103;3;0.23;0.97;1.78;99,1,averageClustering,0.89,0.97,0.05093750000000019,0.13093750000000015,2
3,21;gogol-the-government-inspector;30;3;0.5;0.88;1.52;26,29;schnitzler-la-ronde;11;5;0.22;0.15;2.81;3,2,diameter,3.0,5.0,-0.125,1.875,2
4,32;beckett-waiting-for-godot;5;2;0.8;0.87;1.2;4,27;strindberg-miss-julie;3;1;1;1;1;2,2,averagePathLength,1.2,1.0,0.5487500000000007,0.7487500000000007,2
5,25;caragiale-a-lost-letter;17;3;0.73;0.91;1.28;15,9;racine-andromaque;8;3;0.43;0.64;1.79;5,2,density,0.73,0.43,0.3137499999999999,0.013749999999999929,1
6,5;marlowe-doctor-faustus-quarto-of-1616;46;4;0.16;0.91;1.91;42,2;sophocles-antigone;9;3;0.44;0.78;1.58;7,1,maxDegree,42.0,7.0,16.46875,-18.53125,1
7,20;grabbe-napoleon-or-the-hundred-days;259;6;0.09;0.96;2.83;106,12;goldoni-the-servant-of-two-masters;13;3;0.59;0.87;1.42;11,1,size,259.0,13.0,221.78125,-24.21875,1
8,13;goethe-gotz-von-berlichingen-with-the-iron-hand;79;5;0.09;0.87;2.49;46,10;moliere-the-miser;13;2;0.62;0.83;1.39;12,1,size,79.0,13.0,41.78125,-24.21875,1
9,4;aristophanes-the-frogs;16;3;0.29;0.82;1.78;14,17;pushkin-boris-godunov;79;6;0.11;0.92;3.03;29,1,averageClustering,0.82,0.92,-0.01906249999999987,0.08093750000000022,2
10,16;goethe-faust-part-one;115;3;0.2;0.98;1.7;67,7;jonson-volpone-or-the-fox;26;3;0.5;0.86;1.66;21,2,averagePathLength,1.7,1.66,0.04875000000000074,0.08875000000000077,2
11,18;mitford-rienzi;34;2;0.31;0.87;1.69;33,26;tolstoy-the-power-of-darkness;24;4;0.25;0.79;2.11;14,2,diameter,2.0,4.0,-1.125,0.875,2
