name;size;diameter;density;averageClustering;averagePathLength;maxDegree
ostrovsky-beshenye-dengi;9;2;0.8611111111111112;0.91005291005291;1.1388888888888888;8
ostrovsky-bespridannitsa;11;2;0.9818181818181818;0.9818181818181817;1.018181818181818;10
ostrovsky-bez-viny-vinovatye;13;3;0.5;0.7208180708180707;1.6153846153846154;10
ostrovsky-bogatye-nevesty;6;1;1;1;1;5
ostrovsky-dohodnoe-mesto;16;3;0.425;0.802788877788878;1.6333333333333333;14
ostrovsky-goryachee-serdce;21;3;0.4714285714285714;0.831446168210874;1.5857142857142856;18
ostrovsky-groza;29;4;0.27832512315270935;0.8330899739842327;1.9285714285714286;23
ostrovsky-les;12;2;0.7878787878787878;0.9269360269360272;1.2121212121212122;11
ostrovsky-na-bojkom-meste;11;2;0.7454545454545455;0.8258297258297258;1.2545454545454546;9
ostrovsky-na-vsyakogo-mudreca-dovolno-prostoty;16;3;0.5333333333333333;0.8005803224553224;1.5;13
ostrovsky-neozhidannyj-sluchaj;4;1;1;1;1;3
ostrovsky-nevolnicy;7;2;0.8095238095238095;0.819047619047619;1.1904761904761905;6
ostrovsky-poslednyaya-zhertva;24;4;0.322463768115942;0.8216299903799903;2.0579710144927534;15
ostrovsky-prazdnichnyj-son-do-obeda;10;3;0.7111111111111111;0.8652380952380951;1.3111111111111111;8
ostrovsky-puchina;19;2;0.3684210526315789;0.8772411798727587;1.4878048780487805;15
ostrovsky-semejnaya-kartina;6;1;1;1;1;5
ostrovsky-shutniki;25;4;0.36666666666666664;0.8387504659083607;1.8433333333333333;19
ostrovsky-snegurochka;42;4;0.2462253193960511;0.8573844396863044;1.9210220673635308;31
ostrovsky-staryj-drug-luchshe-novyh-dvuh;10;4;0.4666666666666667;0.5933333333333334;1.6888888888888889;6
ostrovsky-svoi-ljudi;8;1;1;1;1;7
ostrovsky-svoi-sobaki-gryzutsya-chuzhaya-ne-pristavaj;8;2;0.7142857142857143;0.8607142857142858;1.2857142857142858;7
ostrovsky-utro-molodogo-cheloveka;9;3;0.4722222222222222;0.7518518518518519;1.6944444444444444;6
ostrovsky-v-chuzhom-piru-pohmelje;10;2;0.5777777777777777;0.8510317460317459;1.4222222222222223;9
ostrovsky-volki-i-ovtsy;18;3;0.45751633986928103;0.8524318274318274;1.607843137254902;15
ostrovsky-vospitannica;10;2;0.7111111111111111;0.8805555555555555;1.288888888888889;9
ostrovsky-za-chem-pojdesh-to-i-najdesh;9;2;0.5555555555555556;0.8476190476190476;1.4444444444444444;8
petrov-ostrov-mira;27;3;0.5641025641025641;0.7994927993772611;1.4215384615384616;24
pisarev-lukavin;13;2;0.5512820512820513;0.8068265068265068;1.4487179487179487;12
pisarev-naslednica;4;2;0.8333333333333334;0.8333333333333333;1.1666666666666667;3
